title,location_name,society_name,unit_type,carpet_area,final_price,rate_per_sqft,floor,furnishing,bathrooms,parking,age_of_property
2 BHK Luxury Garden View,Wakad,Rohan Tarang,2 BHK,780,7500000,9615,4,Semi-Furnished,2,Covered,3
3 BHK Premium Balcony Flat,Baner,Supreme Estia,3 BHK,1220,13500000,11065,8,Furnished,3,2 Covered,2
2 BHK Smart Home near IT Park,Hinjewadi,Megapolis Smart Homes,2 BHK,710,5800000,8169,11,Unfurnished,2,Open,4
3 BHK Penthouse with Terrace,Kharadi,EON Waterfront,3 BHK,1450,16500000,11379,15,Furnished,3,2 Covered,1
2 BHK Corner Apartment,Ravet,Pharande Puneville,2 BHK,740,6200000,8378,6,Semi-Furnished,2,Covered,2
1 BHK Compact Executive,Viman Nagar,Konark Nagar,1 BHK,520,4900000,9423,3,Furnished,1,Open,5
2 BHK Prime High-rise,Balewadi,Marvel Cascada,2 BHK,850,9600000,11294,9,Semi-Furnished,2,Covered,3
3 BHK Spacious Family Home,Kothrud,Dahanukar Colony,3 BHK,1150,14200000,12347,5,Furnished,3,Covered,6
2 BHK Metro Adjacent Flat,Aundh,Sindh Society,2 BHK,890,11200000,12584,2,Semi-Furnished,2,Covered,7
2 BHK Green Facing Flat,Magarpatta,Cosmos,2 BHK,830,8600000,10361,7,Furnished,2,Covered,5
2 BHK Modern Condo,Punawale,Austin Park,2 BHK,730,5900000,8082,5,Semi-Furnished,2,Covered,2
3 BHK High Street Flat,Koregaon Park,Vascon Windermere,3 BHK,1580,24500000,15506,6,Furnished,3,2 Covered,4
